trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.3, 'e': 0.9129342275597286}",25,0,-119.45818324083847,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
104,False,"{'a': 0.3, 'e': 0.9088770389851438}",20,0,-57.28804093197611,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
105,False,"{'a': 0.3, 'e': 0.9046505351008906}",25,0,-84.52682398806368,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.3, 'e': 0.9002495108803148}",30,0,-171.56236221853933,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
107,False,"{'a': 0.3, 'e': 0.8956687768809987}",20,0,-243.45489899198006,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 5}",0
108,False,"{'a': 0.3, 'e': 0.8909031788043871}",25,0,-93.82294408287991,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
109,False,"{'a': 0.3, 'e': 0.8859476187202091}",20,0,-144.34554413122896,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
110,False,"{'a': 0.3, 'e': 0.8807970779778823}",35,0,-111.17092321315731,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
111,False,"{'a': 0.3, 'e': 0.8754466418125836}",20,0,-86.19710873642528,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
112,False,"{'a': 0.3, 'e': 0.8698915256370021}",20,14,-0.568315253011034,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.8641271029909058}",25,0,-130.64465805317147,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
114,False,"{'a': 0.3, 'e': 0.8581489350995123}",25,0,-119.9290243432367,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
115,False,"{'a': 0.3, 'e': 0.8519528019683106}",20,0,-66.33586797700681,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
116,False,"{'a': 0.3, 'e': 0.8455347349164652}",35,27,14.949587717966608,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.8388910504234147}",20,7,2.5289357196643922,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.8320183851339245}",30,0,3.931653891973583,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.3, 'e': 0.8249137318359602}",20,10,-5.128328783481893,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.8175744761936437}",25,0,-160.7520226129412,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
